bed_room,area,house_age,price
4,9624,40,597750
3,3328,119,570000
3,12600,44,272500
3,5969,53,329950
4,16171,23,480000
3,6350,124,740500
3,1102,14,518500
2,6780,79,205425
4,9600,74,171800
4,2982,99,535000
3,6474,60,660000
3,9132,37,391500
2,6000,71,395000
4,4400,100,445000
3,10204,34,770000
4,17789,110,1450000
3,8201,57,445000
4,8811,46,260000
5,4960,98,822500
4,4310,20,430000
3,7875,38,212000
4,9603,38,660500
3,111078,35,784000
3,2287,10,453246
4,2278,19,675000
3,17390,68,199000
4,7840,56,220000
4,10002,56,452000
2,4440,43,382500
3,1249,10,519950
2,3200,99,665000
5,9375,56,527700
3,8579,62,205000
3,8097,101,420000
4,8517,63,500000
4,315374,30,921500
4,4000,119,890000
2,60984,17,430000
5,12500,64,258000
3,3455,77,511000
3,3090,34,532170
3,5000,77,560000
3,8200,70,282950
4,19850,18,2250000
1,5100,82,350000
3,7669,57,215000
5,25245,28,650000
4,7500,57,320000
3,7198,108,247000
4,11180,56,320000
5,8632,62,255000
3,9660,62,438000
3,16603,24,900000
3,7280,45,441000
3,38332,49,420000
3,7000,48,370000
2,7250,75,269950
4,4499,25,807100
3,9750,45,653000
3,8336,60,371500
3,21000,70,284000
3,7140,46,272000
3,7912,69,313000
4,35003,40,917500
4,8190,44,673000
3,1100,16,425000
5,5400,38,399950
3,4800,123,385000
3,7560,49,269950
2,8220,75,330000
3,5797,36,260000
4,5125,99,470000
4,9600,63,589000
2,3419,28,163500
4,13412,31,835000
5,12850,38,1095000
4,10000,55,269000
3,8744,37,560000
4,2400,123,615000
3,10026,49,585188
3,9480,47,305000
3,8820,65,166950
3,9897,65,799000
3,7508,62,400000
3,10228,76,230000
3,5025,21,256883
4,6480,104,423000
3,4084,17,465000
3,66211,27,440000
3,155073,55,385000
3,11725,81,210000
3,14952,30,297000
3,5000,72,470000
3,7370,48,226500
3,8450,62,274250
4,11010,58,840000
3,4587,14,677900
3,5864,109,425000
2,9600,83,180250
6,3404,104,464000
4,7579,31,320000
3,1566,10,625504
4,12032,41,592500
3,17936,19,465000
4,6270,46,477000
2,16400,101,280000
5,33474,67,1505000
3,5692,24,445838
2,14864,77,1072000
2,10800,77,467000
4,6440,25,686000
3,9750,63,279950
4,19436,37,527000
3,16020,58,325000
3,8379,30,328000
3,7500,82,390000
2,6516,19,479950
4,9753,46,264950
3,15246,63,235000
3,4729,20,516500
2,15798,109,655000
4,15347,64,500000
6,7350,46,315000
2,10200,63,213000
3,5280,77,475000
5,28040,41,1025000
3,94300,48,416000
4,4740,120,410000
3,221284,31,800000
6,14034,59,472000
3,8505,56,225000
2,6000,84,210000
2,5000,99,455000
3,8316,70,225000
2,3060,106,480000
3,11872,34,363000
4,8354,24,2400000
2,5120,70,181000
4,7312,48,250000
3,3000,106,481000
3,7209,46,260000
4,7685,23,455000
3,36224,33,415000
3,3538,71,349500
3,7442,37,245000
2,9191,96,592500
4,7620,69,385000
3,11455,50,315000
3,10170,45,255000
4,4425,18,693000
3,4400,113,780000
3,8470,64,237000
3,40510,45,525000
2,5040,94,425000
1,10079,88,369900
4,7280,36,290000
3,10701,70,285000
2,4500,87,415000
3,9900,45,272500
4,20100,42,2900000
4,57346,35,1365000
2,7538,85,436000
3,11390,57,210000
3,5898,63,236000
3,1306,70,331000
3,4510,18,365000
3,16258,64,450000
4,26300,10,770000
4,49375,27,455000
3,6000,116,405000
4,11325,55,304900
2,5265,93,170000
5,8480,119,2050000
4,7048,19,780000
3,13959,36,330000
4,8666,32,370000
5,13500,45,467000
3,6720,44,405000
5,10300,39,675000
2,14100,70,500000
4,15770,56,389999
4,9025,49,630000
4,9528,32,360000
4,11060,38,580000
3,4166,95,550000
4,22111,30,879000
3,8959,31,265000
3,7286,34,446500
3,8880,61,404000
3,11914,67,267500
4,18641,22,3075000
3,7632,26,335000
3,9000,76,576000
3,3810,18,208633
3,8750,60,315000
3,3300,111,725000
4,7750,59,550000
4,7297,40,610750
2,5000,116,550700
4,10574,64,665000
4,4000,96,834000
5,78408,109,201000
5,9050,103,2384000
4,12103,27,1384000
4,12103,27,1400000
4,7700,45,305000
3,14052,76,487000
3,64904,36,390000
2,3864,108,548000
4,8775,81,268750
5,7119,11,819900
3,16200,40,520000
3,11204,21,230000
3,10248,55,240000
2,12092,102,232000
2,12092,102,240500
3,45004,37,274975
4,4400,102,740000
3,7636,72,186375
3,10289,47,790000
4,6750,73,880000
6,11180,69,279000
3,10530,33,295000
2,5000,100,640000
4,9525,56,940000
4,5238,21,260000
3,5569,20,559900
4,3500,113,791500
3,8250,70,265000
3,11547,70,245000
4,43995,62,485000
4,8414,14,684000
3,6840,67,425000
4,20000,33,309600
4,5823,22,552250
4,7134,81,165000
4,7134,81,239900
2,32633,94,320000
3,13464,37,206600
4,7690,51,387000
1,12120,57,299000
4,10460,59,855000
3,14400,70,315000
2,3120,117,437500
4,19800,55,252000
4,7475,69,375000
4,4862,19,300000
4,9600,70,420000
3,77972,96,900000
3,5750,24,679900
3,29970,32,463000
5,11340,46,380000
4,7912,30,329500
3,5608,11,604950
5,9570,58,795000
3,40438,30,465000
4,10400,22,673000
4,15420,33,810000
4,69415,35,785000
4,7500,38,338000
3,7222,31,280000
4,10754,70,315000
4,10754,70,530000
5,9914,20,380000
3,7562,30,297000
4,7331,20,730000
3,13500,84,450000
3,7750,27,275000
4,2849,64,595000
3,3348,120,435000
2,209959,70,270000
3,14338,38,950000
4,5337,23,389000
4,7800,56,560000
5,14984,26,1350000
4,11585,55,799000
3,9600,41,365500
3,7352,45,252350
4,13780,31,403950
4,10726,70,385000
4,7620,67,345000
3,3128,45,490000
3,26977,19,330000
4,12090,71,927000
4,16619,41,1118000
2,10000,74,330000
5,8800,66,530000
4,25600,62,365000
3,3000,115,378750
4,8750,56,269900
3,2096,16,557000
4,16980,50,360000
2,5000,87,352000
3,22357,30,437000
4,6753,30,322500
3,2000,23,650000
3,1213,23,450000
3,5250,26,278500
4,6957,29,364950
4,40139,38,840000
3,8134,33,268000
2,143947,18,517534
3,32239,46,632925
3,7251,29,577500
4,7480,104,339000
3,37461,57,570000
4,174240,60,563500
4,9351,62,423000
3,5028,12,355000
5,171626,25,1550000
2,3960,83,482000
3,9135,69,625000
3,11632,36,538000
3,10255,39,380000
2,5120,115,375000
3,8500,28,245000
5,27260,77,310000
3,15021,48,1300000
4,7680,53,397000
3,4052,19,365000
4,8250,34,328500
4,19700,37,988000
4,3277,102,1000000
3,2138,19,237000
4,5280,21,525000
4,9627,48,749000
5,11800,41,722500
3,8750,33,843000
2,1372,24,438000
3,10875,47,578000
3,8230,70,227950
3,11576,50,196000
2,5332,71,641000
3,219978,44,350000
3,7980,64,205000
3,9102,56,400000
3,9816,19,1030000
3,5460,52,505000
5,7200,49,475000
3,9263,47,520000
3,24920,47,1450000
3,9732,59,333500
3,10403,48,232000
3,16117,41,691100
3,9897,64,811000
3,5802,23,551000
3,3640,30,496500
3,20978,44,705000
4,9225,58,578000
3,8659,38,255000
4,7832,17,1050000
3,8491,35,348000
3,3413,39,230000
4,11250,36,359500
3,7000,71,330000
1,5050,112,80000
3,6360,70,465000
4,7324,27,325000
3,28025,77,340500
3,5192,31,342500
2,17600,94,290900
3,6161,24,868700
4,8400,96,1199000
4,10259,24,1150000
4,6298,13,859900
4,3006,21,520000
3,2527,19,460000
3,4590,75,438924
2,6550,106,315000
4,10650,49,590000
4,8640,69,378500
3,8130,34,328500
3,9773,51,849950
3,6000,74,525000
4,181319,31,1385000
4,7725,46,295000
6,11793,26,1067000
2,5000,107,207950
4,7302,22,699900
5,9500,47,1280000
4,7350,61,452000
3,5036,37,370000
3,11230,56,232000
5,14062,64,669950
3,6710,52,397500
2,1391,20,490000
4,4140,99,725000
3,19635,66,299000
2,5750,124,625000
3,4500,24,437500
4,5438,21,650000
2,3825,95,475000
3,11947,58,342000
4,7800,25,1197350
3,11610,61,280000
2,7200,31,240000
3,3328,100,529000
3,5100,83,442000
2,6872,78,615000
4,10800,18,1485000
4,7559,43,585000
4,7787,19,480000
5,57063,34,1095000
4,8184,75,290000
3,5000,73,615000
2,7680,74,300000
3,39150,92,308000
3,7745,23,750000
4,8036,108,2250000
4,194278,19,890000
3,7560,66,288000
2,6000,81,190000
5,5105,19,515000
4,11054,94,235000
2,5000,73,275000
2,9119,72,727500
4,6587,21,650000
6,230652,23,1600000
4,7085,80,365000
3,36947,40,662000
3,7848,46,270500
2,1898,46,200000
4,76230,37,970000
3,9600,62,160000
3,7405,53,204000
3,6655,39,358000
4,8268,45,452000
2,4000,124,595000
3,6082,30,249000
4,5106,25,346900
3,24069,48,2125000
4,4350,21,280000
4,12000,51,318888
3,40518,57,530000
3,18500,41,375000
4,29242,36,910000
4,9614,33,782000
2,649,16,259950
4,18360,45,315000
2,8865,81,215000
3,10221,78,705000
3,6320,72,1450000
3,9813,75,451000
2,8125,81,261000
3,8280,68,396000
4,29170,25,725000
7,15235,59,1950000
4,7242,65,238000
6,9563,51,750000
4,10271,26,331500
4,108900,46,460000
4,217014,42,404950
3,5163,10,880000
4,22370,27,863000
3,9162,64,638700
3,5680,16,435000
3,5350,65,260000
5,4000,97,671500
3,3400,117,610000
2,15029,87,405000
4,5612,21,338900
4,7708,20,720000
5,5445,97,442000
5,5040,122,650000
3,9917,43,263500
2,75794,61,300000
3,3402,15,266000
4,84942,15,930000
4,5493,20,530000
3,8960,59,180000
3,6439,19,619000
3,10608,62,264000
2,4920,83,730000
4,10070,49,439000
4,7500,43,268500
3,15744,39,330000
3,4000,121,640000
3,12600,46,900000
3,13300,39,370000
3,2900,93,685000
3,217800,43,505000
3,32666,58,265000
3,2937,18,290000
4,3600,18,296000
4,9611,28,360000
3,10584,27,240500
2,2958,17,372500
3,14402,20,595000
4,8249,27,515000
4,15367,62,1220000
2,6460,20,507000
4,31465,40,399950
3,10816,30,185000
3,7070,44,460000
3,4789,39,435500
4,13938,58,469000
2,1175,24,531000
2,6804,75,443500
3,6824,34,223000
4,15842,28,590000
2,1760,27,340000
3,3388,99,650000
3,5080,34,533600
3,4694,19,695000
3,7524,36,242000
3,8814,57,425000
3,9414,43,525000
3,5502,36,485000
3,9775,53,175000
3,7210,41,210000
3,7415,35,260000
3,5750,48,577000
3,10588,66,200000
2,5000,97,605000
3,6750,77,325000
3,6400,80,289500
3,1458,10,559950
3,9375,83,1042500
3,2790,54,543500
4,34293,41,480000
3,9633,42,218000
2,6000,110,565000
3,7700,56,426700
3,11575,67,650000
2,3060,114,542000
3,8000,47,415000
3,8316,71,214000
3,8910,75,245000
3,13303,31,314500
3,5750,100,1120000
2,3850,61,378000
4,9091,42,305000
5,6750,46,595000
3,1091,9,729500
3,6699,21,430000
3,6500,37,240000
3,6200,108,545000
3,2500,106,530000
1,26326,85,157000
4,7645,99,425000
3,6020,80,220000
4,36400,48,521000
3,6862,72,325000
3,5400,113,597500
3,3976,25,337000
3,10492,33,1000000
3,55867,67,3070000
3,6000,81,495000
4,3330,23,748000
3,8710,71,888000
3,22267,38,269900
4,14440,57,496500
3,5097,55,475000
3,1374,20,312000
3,12231,48,323000
3,9079,38,331000
3,1086,17,306000
4,4000,22,655000
3,15954,65,290000
4,5000,59,1250000
3,4708,75,460000
4,6380,84,435000
4,11880,46,664000
4,4180,103,865000
3,18000,56,385000
3,9315,49,497000
2,3000,99,280000
2,17487,100,188000
3,4755,55,478500
4,18361,23,1145000
3,7187,43,222000
4,209523,40,799000
4,7399,18,609900
4,5809,29,413000
4,4875,94,400000
5,6768,10,802541
3,7757,34,320000
4,7649,18,507000
3,8329,78,387500
3,12616,57,396000
3,11788,66,373000
5,19252,59,1484900
4,7698,41,359900
2,4342,97,410000
4,23488,32,690000
3,5760,39,245000
5,25958,45,700000
4,9966,47,268000
3,26055,45,225000
4,11034,48,980000
2,5000,119,795000
2,5100,71,195000
4,10575,74,480000
4,3600,124,485000
2,9000,96,130000
2,5703,78,325000
3,7245,40,440000
4,14782,66,550000
3,7150,57,310000
3,39478,35,530000
4,8548,31,390000
3,12125,43,243000
4,9875,34,639000
4,7400,55,215000
5,10500,63,405000
4,7140,56,250000
3,8108,70,405500
6,13579,87,452000
6,13579,87,730000
3,9644,30,267000
3,6186,22,289950
2,4080,113,565000
4,51836,36,1578000
3,2770,17,636000
5,5500,20,350000
3,9380,46,320000
2,5680,46,210000
2,5900,74,245000
3,7650,41,328000
4,37769,35,985000
3,7972,48,501000
3,17424,32,315000
3,8354,12,403000
3,17950,90,550000
4,3562,12,347500
4,8893,38,365000
3,8167,73,588000
3,7400,47,605000
3,5979,87,1300000
3,9177,50,233000
4,17715,27,360000
2,4887,95,459000
3,72745,29,740000
3,9750,57,305000
3,4000,99,395000
4,6000,24,560000
4,5070,61,650000
3,4912,21,449950
3,5200,84,517500
4,6460,54,435000
3,6908,72,329999
3,4200,64,950000
3,6001,80,447000
2,6600,14,699800
3,3850,113,850000
3,14250,45,316500
5,9612,43,942500
2,3938,33,1310000
4,13430,60,856600
5,4000,106,405600
4,22594,28,565000
3,1149,16,400000
3,218252,27,330000
4,4683,19,374950
3,7939,41,405300
3,31400,40,560000
4,9864,63,824000
3,10968,40,260000
4,6099,59,760000
3,12750,29,405000
4,8625,37,429900
3,7223,63,341500
5,7642,67,465250
2,3000,112,450000
3,10800,69,390000
3,8030,61,420000
3,4838,22,269950
4,2874,114,493000
4,5880,26,370000
5,9453,119,2250000
3,23680,57,305000
3,8219,86,400000
3,1221,15,320000
4,4800,113,715000
6,10003,58,650000
5,8040,58,218000
2,5400,60,500000
4,40419,40,460000
3,9887,55,232500
3,5761,34,408200
3,8400,44,522000
4,11120,42,675000
4,11000,25,1355000
4,7980,72,249950
2,34133,74,210000
4,7216,77,429950
4,36276,31,737500
4,9000,66,710000
3,4700,25,470000
4,40097,31,1100000
3,2720,111,650000
4,8684,57,1216000
3,4534,37,422120
5,15085,17,625000
4,7740,70,385200
3,4964,35,500000
4,12243,35,308000
3,9966,47,565000
3,4438,20,581000
3,8698,25,361000
3,7210,60,345000
2,1253,16,419000
3,4308,20,347000
4,36085,35,625000
4,15188,25,2400000
3,17852,10,379000
3,3323,36,310000
2,5500,83,250000
5,5000,19,682000
3,8919,32,246500
3,57381,92,325000
4,4997,20,310950
3,5000,93,1100000
3,7200,70,287500
3,7200,70,431000
3,5000,56,226000
3,3090,98,825000
4,6030,77,175000
3,10350,65,465750
4,24931,41,659000
3,5753,83,595000
3,16290,37,350000
4,8600,49,270000
6,25600,67,662500
3,14000,85,249900
3,11340,47,324500
2,4003,20,430000
2,4003,20,419950
4,7440,62,285000
4,7780,22,332000
4,10725,68,282000
3,5175,37,320000
3,30736,113,428750
3,35287,47,330000
4,2309,16,456500
3,11050,52,352000
4,4080,112,664000
3,11894,37,628000
3,12555,47,512000
3,9000,55,254000
4,5790,30,535800
3,16050,64,287653
3,1304,18,438000
4,23899,75,450000
5,8050,26,327000
4,6120,19,370500
3,6271,31,265000
4,13260,45,450000
3,213444,36,425000
3,8690,47,166600
1,15000,61,245000
3,5212,73,565000
3,10150,48,539900
3,3200,14,910000
4,7416,34,280000
3,8549,35,275000
3,6590,23,467000
3,4445,28,457500
2,3090,116,381156
5,8240,47,289999
3,4160,105,642450
3,8701,62,469950
3,13650,49,795000
4,10514,40,785000
3,12095,41,860000
0,4764,34,1095000
3,8498,65,147500
3,11576,46,390000
3,8100,70,229000
3,8100,92,185000
3,9570,83,414900
4,4822,110,200000
4,9350,55,225000
3,4000,100,720000
4,4000,116,930000
5,17204,72,1270000
5,3118,96,700000
2,1058,19,466000
3,10640,48,374000
3,10035,30,480000
3,25341,29,740000
4,5400,101,1010000
4,5000,22,395000
2,6771,70,340000
3,1340,21,209000
5,7700,62,431650
5,11470,53,980000
3,28243,31,660000
4,9009,47,730000
3,9600,36,291500
4,14486,27,905000
4,50308,31,800000
4,13592,11,839900
1,1157,17,200000
3,6698,45,300000
3,6041,82,530000
3,8479,29,314950
3,9315,64,255000
5,5720,74,550000
3,4800,107,435000
3,8738,58,234000
4,10062,49,615000
3,8384,39,205000
4,7135,69,384000
3,7208,30,324000
3,5500,78,645000
3,1777,17,570000
3,5322,25,324000
2,10320,81,270000
5,7700,62,290000
3,9220,59,250000
3,16275,34,342000
3,8450,66,255000
3,11824,52,800000
3,4049,98,451000
4,10480,57,990000
4,6687,41,288400
3,4600,104,420000
2,1140,15,359000
4,262018,36,390000
3,2614,19,300000
5,7863,43,545000
3,18616,52,288349
3,35026,39,299900
4,5000,99,891000
3,22410,77,1200000
4,4650,20,378000
2,7200,73,299995
3,6564,30,253000
3,47916,45,350000
4,4300,124,565000
2,5665,116,315000
4,6766,109,570000
5,10140,19,971000
5,5589,114,915000
4,23568,74,419000
4,7480,47,260000
3,12968,34,1321500
3,10720,47,369950
3,13384,30,1029900
5,6750,95,435000
3,6743,66,601000
3,10650,61,460500
3,1159,24,720000
4,13202,28,851000
4,5000,108,550000
4,4560,104,700000
3,14850,61,323000
3,8581,80,345500
4,7920,65,378000
4,5000,107,650000
3,7380,42,385000
2,2970,114,425000
4,6174,104,210000
4,43101,31,630000
3,7500,71,335000
3,9000,58,196500
4,7636,38,582800
3,7207,41,440000
4,8616,50,752500
3,5000,115,532500
3,9000,74,265000
3,13737,63,397500
3,3469,25,524250
4,10819,28,765000
4,5450,23,648000
5,24759,55,469500
3,7854,49,237500
3,8712,68,216000
3,8400,61,427200
3,7800,47,280000
5,9804,56,718000
2,4139,14,420000
2,5400,72,379000
2,7683,82,326100
3,1016,21,535000
4,8560,32,283000
3,7469,84,260000
4,6388,73,399000
3,5004,37,484950
4,9828,64,640000
4,8158,72,585000
4,11583,69,645000
3,7651,36,253000
2,6460,71,178500
4,6325,33,291000
2,20917,104,199950
2,2340,102,553500
2,4188,43,189950
3,9550,36,289000
4,4590,116,700000
3,8853,57,270000
4,8320,47,258000
3,7214,19,530000
3,3677,12,245000
3,5000,107,563000
3,4203,23,515000
4,7091,37,325000
3,217800,28,540000
2,5000,75,280300
4,5500,98,460000
3,8970,43,475000
4,44431,67,900000
4,7260,60,538200
2,3600,102,429000
3,5411,44,164808
4,7700,47,520000
3,8432,47,475000
4,47045,82,283000
4,6228,24,321500
4,21810,31,840000
3,6000,32,287000
3,8106,62,375000
3,7128,55,349500
3,7749,64,446450
4,9643,32,315000
2,5340,118,271310
4,8400,71,315000
3,6930,34,245000
2,5484,77,543115
4,8190,79,900000
4,6552,16,2450000
2,6045,21,554000
3,12522,74,249900
3,54160,43,768000
4,5854,57,980000
5,9600,62,395000
3,2200,29,415000
4,6921,21,380000
3,5259,25,566000
2,8961,75,218500
4,10500,48,550000
3,3000,104,512031
2,8860,74,197500
3,8784,47,470000
3,242629,43,590000
4,8862,47,465000
2,114562,56,499000
3,11500,52,515000
3,5000,88,716500
3,4250,80,410000
4,6500,30,850000
4,35021,41,1050000
4,13435,32,648000
4,5350,95,620000
4,84267,16,935000
3,10320,61,379000
3,5375,72,699000
4,8005,64,528000
3,9452,50,425000
2,8645,61,249500
5,6642,10,1035480
4,11900,63,790000
3,18050,55,399950
3,9000,71,275000
3,2500,112,550000
1,6890,98,140000
3,6250,70,250000
3,8909,36,318000
2,57000,62,505000
5,9248,58,470500
3,9206,70,360000
4,8500,62,1242500
3,16080,60,986000
2,4228,118,515000
3,41900,85,320000
4,7426,73,310000
2,5000,82,356700
4,5595,68,775000
3,7541,73,325000
4,8677,62,208000
2,12775,116,825000
3,11254,34,515000
3,3400,95,490000
4,28300,70,675000
4,4080,62,360000
4,4080,62,550000
3,9000,62,225000
3,9360,57,500000
4,11700,55,385000
5,12611,30,837700
3,3056,21,448000
5,21357,72,730000
4,7140,70,575000
3,7300,48,430000
3,3987,22,435000
3,9611,51,241000
2,1760,100,453500
2,1380,23,285000
2,4222,82,151000
5,14731,20,1570000
5,2400,119,631000
2,1073,13,285000
3,8378,65,195000
4,35679,37,817500
3,12825,64,550000
4,8281,29,1127000
2,1369,22,609850
3,4380,77,200000
4,6219,18,367000
3,8375,36,285167
2,32175,77,275000
4,12843,32,350900
4,9273,36,660000
3,8835,67,525000
4,7800,27,262000
2,4560,117,690000
5,14648,19,624000
3,7740,77,353000
4,10400,22,552500
4,8355,41,224500
3,8571,74,239000
5,12250,20,975000
4,13470,18,1200000
3,4000,114,505000
4,7865,61,302000
3,5670,80,170000
2,27007,114,195000
5,6300,65,272000
5,6300,65,369000
3,6332,71,332500
3,8250,61,515000
3,4250,57,269000
4,17832,30,1278000
3,4100,39,303000
7,8624,47,420000
3,4100,83,400000
3,8437,37,225000
2,2550,20,219000
3,9487,35,605000
4,6867,82,625000
5,3240,118,380000
4,7700,62,620000
4,10970,30,687500
4,7950,62,225500
3,6000,68,252500
3,3658,30,510000
4,5203,21,510000
3,4000,118,725000
1,43377,58,75000
2,2970,97,492000
4,14196,47,425000
4,7898,61,1955000
3,6162,30,298900
4,40319,37,699000
2,3000,106,310000
3,8580,63,350000
4,10061,63,790000
4,5000,21,305000
3,2865,21,315000
5,6600,47,267500
4,7749,74,1750000
6,8620,37,435000
6,7500,58,482500
5,45517,25,5110800
3,8400,65,439995
3,7500,57,460000
3,6440,53,194000
2,8313,81,290000
4,9600,61,274700
4,3672,114,900000
4,103382,23,1150000
3,3667,16,605000
3,3850,20,359000
3,9900,73,850000
3,2500,22,505000
3,7394,34,565000
2,7110,69,585000
4,7500,34,328000
4,18700,67,749950
4,7140,18,826000
3,40259,47,535000
4,101930,33,925000
3,6000,23,875000
4,9200,48,902000
3,13900,73,423000
3,11100,56,235000
2,14057,44,545000
2,7560,63,343000
3,2930,22,334950
3,5355,68,405000
4,8250,65,220000
2,8100,77,173000
3,3600,118,655000
2,3000,100,406000
6,8320,63,632000
5,4000,34,357000
3,17585,60,361000
2,8149,76,277000
4,40202,44,630000
3,4597,21,254000
3,8400,63,472800
3,3800,111,263000
3,3800,111,510000
3,10125,72,179950
4,7307,51,525000
3,889,16,479000
3,6440,84,651000
4,7834,66,949000
5,27951,82,392400
4,5356,74,585000
4,7504,20,460000
3,4400,73,470000
3,4271,21,245000
4,27631,46,500000
3,8653,35,455000
4,3974,25,485500
5,7920,103,1875000
2,17334,46,100000
3,16105,42,307000
4,14401,30,475000
4,7210,52,330000
3,7520,64,130000
3,7417,26,320000
4,6180,11,735000
4,9600,52,365000
3,11935,56,234000
4,8288,54,211000
6,6320,55,680000
4,7845,22,457000
3,7261,35,349000
3,6840,45,360000
4,10155,26,350000
3,7420,64,208000
2,11234,82,250275
2,11234,82,435000
3,7763,40,270000
3,12940,63,438000
4,23625,86,659000
4,6350,50,645000
4,5423,25,685100
7,9569,61,350000
2,81892,69,375000
3,81549,58,170000
4,3841,19,880000
4,5000,16,410500
4,13609,28,780000
5,4426,23,1225000
2,6852,19,449000
3,5000,103,546000
3,11410,47,317000
3,7566,66,276900
5,7030,59,399000
5,10165,48,495000
3,9000,46,258000
2,102366,112,600000
3,881,25,265000
5,7000,46,321000
5,4000,114,682000
4,5805,24,295700
4,37981,39,609000
3,47044,56,995000
3,11817,38,530000
5,5150,117,614000
3,21780,38,390000
3,6642,20,467000
6,13501,44,484000
3,1115,21,340000
3,7201,30,302495
3,3360,97,532500
3,9592,31,441500
4,8062,57,470000
4,8570,20,2300000
3,99752,28,590000
3,12000,82,320000
2,1201,15,363000
4,18600,47,747500
2,7957,21,750000
4,4000,42,831000
3,4125,20,403000
3,4565,19,445000
3,17380,54,345000
3,14872,21,2260000
3,8925,47,371025
2,6250,108,355000
3,14110,52,270000
4,15349,67,425000
3,7875,57,364808
3,6561,43,320000
4,5797,18,325000
3,10290,40,350000
3,10176,77,170000
2,28717,40,255000
3,7500,77,550000
4,25714,19,835000
3,5120,78,420000
4,7350,66,925000
2,4080,68,389250
3,10183,20,748000
3,9600,36,284000
4,5000,74,588000
3,8648,61,372500
4,7194,36,285000
3,9467,70,360000
3,17859,94,275000
2,4225,21,428000
6,17864,55,847000
3,7838,47,316000
3,7205,24,375000
3,4080,57,533000
5,16905,33,556000
4,14120,58,225000
4,9530,46,537250
3,13650,57,255000
4,4836,18,530000
6,24829,33,5300000
3,31238,28,595000
4,8880,66,548000
3,8073,44,234975
3,1325,19,600000
4,12528,57,432000
3,6657,38,455000
3,11234,59,279950
3,9072,61,267500
4,220308,24,620000
2,7590,81,110000
3,1846,15,625000
2,7000,72,389000
4,3360,119,1200000
4,133729,47,788500
5,6936,50,567000
2,15000,37,515000
4,11870,56,605000
4,4800,88,430000
2,6000,104,805000
3,4556,25,567500
3,3870,108,647500
2,2530,121,495000
4,5000,18,825000
4,7506,37,435000
3,7800,56,445950
5,10257,31,960000
4,3600,95,780000
3,9000,55,274500
5,5167,115,729953
3,890,16,464950
4,18800,65,620000
4,5600,19,735000
4,9565,65,450000
4,4676,108,450000
4,5298,122,842500
3,79714,45,360000
3,100545,26,585000
3,7923,47,461000
2,4494,75,345000
3,10302,54,1075000
4,8391,36,643000
4,8307,34,690000
4,11111,75,282000
3,6130,73,549000
3,6000,98,815000
5,22703,72,2200000
3,11424,40,700000
3,10360,32,933399
3,11250,57,290000
4,9300,45,372000
2,2890,104,450000
3,5700,14,303700
4,10049,35,672000
4,9360,54,334000
2,5650,80,260000
3,5700,83,749950
4,122038,40,330000
5,2808,64,830000
3,13791,18,1131000
3,7552,76,320000
2,15250,104,260000
3,11475,79,225000
1,6350,85,279200
4,10000,82,520000
3,8060,37,505000
3,8366,49,234000
4,5044,19,503000
4,8858,45,606000
3,6000,87,433500
3,10182,73,250000
3,9307,40,719000
3,14400,65,381000
3,4400,17,267000
